Customer ID,Recency,Frequency,Monetary,Cluster,ClusterLabel
12346.0,325,12,87.71552338673325,4,Regular Customers
12347.0,1,8,659.0783203347115,4,Regular Customers
12348.0,74,5,148.99771070755517,4,Regular Customers
12349.0,18,3,512.6315721265443,4,Regular Customers
12350.0,309,1,46.82972217955997,4,Regular Customers
12351.0,374,1,56.66596876671444,4,Regular Customers
12352.0,35,9,277.6289598663589,4,Regular Customers
12353.0,203,2,66.76896034611067,1,Lost Customers
12354.0,231,1,168.6010358906558,2,New Customers
12355.0,213,2,109.33836060407894,4,Regular Customers
12356.0,22,6,451.78678786772974,4,Regular Customers
12357.0,32,2,1076.3617137627257,0,At-Risk Customers
12358.0,1,5,243.52799971483964,4,Regular Customers
12359.0,57,10,1100.5556946530503,4,Regular Customers
12360.0,51,6,580.4969136747111,4,Regular Customers
12361.0,286,4,73.26486749040973,4,Regular Customers
12362.0,2,10,743.2122438777203,2,New Customers
12363.0,109,2,71.09566900064137,2,New Customers
12364.0,7,4,216.12856681187148,2,New Customers
12365.0,290,1,57.98622694525605,2,New Customers
12366.0,633,1,15.365235901337748,0,At-Risk Customers
12367.0,3,1,27.23148712676709,2,New Customers
12368.0,627,1,68.09519321487872,4,Regular Customers
12369.0,412,3,246.53425534403257,0,At-Risk Customers
12370.0,50,7,546.769175094814,4,Regular Customers
12371.0,59,4,482.9471700966302,4,Regular Customers
12372.0,71,3,150.24437154420397,4,Regular Customers
12373.0,310,3,139.86879533477773,4,Regular Customers
12374.0,24,3,271.53549950261845,4,Regular Customers
12375.0,10,2,46.78906064408634,2,New Customers
12376.0,389,2,36.11315866564902,0,At-Risk Customers
12377.0,314,4,444.08405796073026,4,Regular Customers
12378.0,129,2,862.0920373317917,4,Regular Customers
12379.0,81,4,225.18928794761663,4,Regular Customers
12380.0,21,8,833.4613214834608,4,Regular Customers
12381.0,4,3,236.82620766897645,2,New Customers
12383.0,184,5,261.78251149765055,4,Regular Customers
12384.0,28,2,71.52558393190554,2,New Customers
12385.0,378,1,200.96893596233093,0,At-Risk Customers
12386.0,337,2,35.834379349779496,4,Regular Customers
12387.0,414,1,24.816068689643778,4,Regular Customers
12388.0,15,8,461.9586533723919,4,Regular Customers
12389.0,402,3,154.3906926214337,4,Regular Customers
12390.0,79,1,86.97156193495807,2,New Customers
12391.0,21,6,531.6978953642052,4,Regular Customers
12392.0,590,1,23.339582988699966,0,At-Risk Customers
12393.0,71,6,325.0049190687807,4,Regular Customers
12394.0,63,2,81.03741242269355,2,New Customers
12395.0,18,15,647.9846755607417,4,Regular Customers
12396.0,673,1,175.48551193885112,4,Regular Customers
12397.0,35,2,351.8788604322665,2,New Customers
12398.0,45,1,233.8645590320779,2,New Customers
12399.0,118,7,292.30740871140813,4,Regular Customers
12400.0,413,1,32.414635727460066,4,Regular Customers
12401.0,302,1,11.466977647503498,2,New Customers
12402.0,322,6,185.12702721738216,4,Regular Customers
12403.0,49,2,32.063922669172385,0,At-Risk Customers
12404.0,681,1,4.162626069638506,4,Regular Customers
12405.0,148,1,168.34650303281404,2,New Customers
12406.0,21,5,570.8693262568228,4,Regular Customers
12407.0,49,5,210.17160267156694,2,New Customers
12408.0,32,8,463.5468761651368,4,Regular Customers
12409.0,78,7,1137.9597544353041,4,Regular Customers
12410.0,308,3,114.38551542350318,4,Regular Customers
12411.0,409,1,59.68109912253083,4,Regular Customers
12412.0,74,6,342.91225969870055,4,Regular Customers
12413.0,66,4,137.9016994484841,4,Regular Customers
12414.0,216,4,66.67854821496998,4,Regular Customers
12415.0,23,24,4109.712341557512,4,Regular Customers
12416.0,656,1,31.7438236193186,4,Regular Customers
12417.0,2,20,989.7820338263989,4,Regular Customers
12418.0,112,4,284.04907453669836,1,Lost Customers
12419.0,385,2,63.11701691340603,4,Regular Customers
12420.0,63,1,86.85058153518963,2,New Customers
12421.0,15,6,157.02173965603532,4,Regular Customers
12422.0,95,12,480.83090026298396,4,Regular Customers
12423.0,0,10,414.83908708796804,4,Regular Customers
12424.0,162,4,302.5179436227842,4,Regular Customers
12425.0,77,2,262.7693085289905,4,Regular Customers
12426.0,194,2,208.99806861208612,4,Regular Customers
12427.0,21,3,87.05973379706833,4,Regular Customers
